,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
3187,2015-01-21,71.7952902255965,3.111204167899418,147.66509381377526,71.7952902255965,71.7952902255965,0.5835468514885362,0.5835468514885362,0.5835468514885362,-0.12239914247278406,-0.12239914247278406,-0.12239914247278406,0.7059459939613203,0.7059459939613203,0.7059459939613203,0.0,0.0,0.0,72.37883707708504
3188,2015-01-22,71.85802995827652,4.61783905177333,144.91078291755034,71.85802995827652,71.85802995827652,0.765359034487194,0.765359034487194,0.765359034487194,-0.010938039844020725,-0.010938039844020725,-0.010938039844020725,0.7762970743312145,0.7762970743312145,0.7762970743312145,0.0,0.0,0.0,72.62338899276371
3189,2015-01-23,71.92076969095645,0.03258517177554605,149.7517378013738,71.92076969095645,71.92076969095645,-0.07135388286310368,-0.07135388286310368,-0.07135388286310368,-0.9328388400166311,-0.9328388400166311,-0.9328388400166311,0.8614849571535275,0.8614849571535275,0.8614849571535275,0.0,0.0,0.0,71.84941580809334
3190,2015-01-26,72.10898888899641,-4.840815888026657,143.95101440028705,72.10898888899641,72.10898888899641,1.33178945450859,1.33178945450859,1.33178945450859,0.1268980020868069,0.1268980020868069,0.1268980020868069,1.2048914524217829,1.2048914524217829,1.2048914524217829,0.0,0.0,0.0,73.440778343505
3191,2015-01-27,72.17172862167642,3.3712203996359933,149.7610537102264,72.17172862167642,72.17172862167642,1.3393912380036317,1.3393912380036317,1.3393912380036317,-0.007335517544932043,-0.007335517544932043,-0.007335517544932043,1.3467267555485638,1.3467267555485638,1.3467267555485638,0.0,0.0,0.0,73.51111985968005
3192,2015-01-28,72.2344683543564,6.978932138523785,146.2659300938663,72.2344683543564,72.2344683543564,1.3781501035094688,1.3781501035094688,1.3781501035094688,-0.12239914247141545,-0.12239914247141545,-0.12239914247141545,1.5005492459808842,1.5005492459808842,1.5005492459808842,0.0,0.0,0.0,73.61261845786586
3193,2015-01-29,72.2972080870364,2.7850300598938267,146.21439430118195,72.2972080870364,72.2972080870364,1.6539866826938467,1.6539866826938467,1.6539866826938467,-0.01093803984512845,-0.01093803984512845,-0.01093803984512845,1.6649247225389752,1.6649247225389752,1.6649247225389752,0.0,0.0,0.0,73.95119476973024
3194,2015-01-30,72.35994781971637,-4.693365120288894,138.88815118801173,72.35994781971637,72.35994781971637,0.905328234089492,0.905328234089492,0.905328234089492,-0.9328388400163389,-0.9328388400163389,-0.9328388400163389,1.8381670741058311,1.8381670741058311,1.8381670741058311,0.0,0.0,0.0,73.26527605380586
3195,2015-02-02,72.54816701775637,-3.6116043225230725,147.07127576521592,72.54816701775637,72.54816701775637,2.5178647168030612,2.5178647168030612,2.5178647168030612,0.12689800208706026,0.12689800208706026,0.12689800208706026,2.390966714716001,2.390966714716001,2.390966714716001,0.0,0.0,0.0,75.06603173455943
3196,2015-02-03,72.6109067504363,4.417025365109476,148.701216832188,72.6109067504363,72.6109067504363,2.5713192721300646,2.5713192721300646,2.5713192721300646,-0.007335517546982206,-0.007335517546982206,-0.007335517546982206,2.578654789677047,2.578654789677047,2.578654789677047,0.0,0.0,0.0,75.18222602256637
3197,2015-02-04,72.67364648311634,0.45801751216346964,148.73185757815986,72.67364648311634,72.67364648311634,2.6415144700392625,2.6415144700392625,2.6415144700392625,-0.12239914247183,-0.12239914247183,-0.12239914247183,2.7639136125110926,2.7639136125110926,2.7639136125110926,0.0,0.0,0.0,75.31516095315561
3198,2015-02-05,72.73638621579629,0.35147577034740246,152.15984617457786,72.73638621579629,72.73638621579629,2.933186819515802,2.933186819515802,2.933186819515802,-0.010938039845425985,-0.010938039845425985,-0.010938039845425985,2.9441248593612275,2.9441248593612275,2.9441248593612275,0.0,0.0,0.0,75.66957303531208
3199,2015-02-06,72.79912594847629,6.16267954343929,148.77583542635435,72.79912594847629,72.79912594847629,2.1837894657874184,2.1837894657874184,2.1837894657874184,-0.9328388400160471,-0.9328388400160471,-0.9328388400160471,3.116628305803465,3.116628305803465,3.116628305803465,0.0,0.0,0.0,74.9829154142637
3200,2015-02-09,72.98734514651625,7.026091048292034,150.0132544805978,72.98734514651625,72.98734514651625,3.688284368725547,3.688284368725547,3.688284368725547,0.12689800208845997,0.12689800208845997,0.12689800208845997,3.5613863666370866,3.5613863666370866,3.5613863666370866,0.0,0.0,0.0,76.6756295152418
3201,2015-02-10,73.05008487919626,9.4090085352161,148.32379016860895,73.05008487919626,73.05008487919626,3.669489631526554,3.669489631526554,3.669489631526554,-0.007335517546299975,-0.007335517546299975,-0.007335517546299975,3.6768251490728545,3.6768251490728545,3.6768251490728545,0.0,0.0,0.0,76.71957451072282
3202,2015-02-11,73.11282461187623,7.573470841916341,149.8379699413369,73.11282461187623,73.11282461187623,3.649429515573287,3.649429515573287,3.649429515573287,-0.12239914247052555,-0.12239914247052555,-0.12239914247052555,3.771828658043813,3.771828658043813,3.771828658043813,0.0,0.0,0.0,76.76225412744952
3203,2015-02-12,73.17556434455621,4.181122350613534,153.05477743750546,73.17556434455621,73.17556434455621,3.833261743933762,3.833261743933762,3.833261743933762,-0.010938039846533671,-0.010938039846533671,-0.010938039846533671,3.844199783780295,3.844199783780295,3.844199783780295,0.0,0.0,0.0,77.00882608848997
