Date,Open,High,Low,Close,Adj Close,Volume
2015-11-02,109.199997,115.680000,106.300003,114.059998,114.059998,66525200
2015-11-09,113.360001,115.250000,103.269997,103.650002,103.650002,74747800
2015-11-16,102.970001,124.070000,101.860001,123.839996,123.839996,113466300
2015-11-23,124.300003,126.389999,120.029999,125.440002,125.440002,51688500
2015-11-30,126.029999,132.199997,122.419998,130.929993,130.929993,97448200
2015-12-07,131.190002,133.270004,118.599998,118.910004,118.910004,89310900
2015-12-14,119.769997,126.349998,114.660004,118.019997,118.019997,78853300
2015-12-21,119.510002,119.589996,114.860001,117.330002,117.330002,34214600
2015-12-28,117.260002,119.599998,113.849998,114.379997,114.379997,34006200
2016-01-04,109.000000,122.180000,104.959999,111.389999,111.389999,123208900
2016-01-11,112.129997,117.779999,101.209999,104.040001,104.040001,105415400
2016-01-18,106.570000,110.139999,97.050003,100.720001,100.720001,146581500
2016-01-25,99.779999,102.680000,90.110001,91.839996,91.839996,112987400
2016-02-01,91.790001,97.180000,81.860001,82.790001,82.790001,114094900
2016-02-08,80.570000,92.209999,79.949997,87.400002,87.400002,114963000
2016-02-15,89.000000,94.900002,87.540001,89.230003,89.230003,66634900
2016-02-22,90.750000,97.480003,86.699997,94.790001,94.790001,79913000
2016-02-29,94.809998,102.220001,93.339996,101.580002,101.580002,88550200
2016-03-07,101.000000,101.790001,94.500000,97.660004,97.660004,83067300
2016-03-14,97.199997,102.410004,96.430000,101.120003,101.120003,62852700
2016-03-21,101.150002,102.099998,97.070000,98.360001,98.360001,37633000
2016-03-28,98.339996,105.790001,97.820000,105.699997,105.699997,67076000
2016-04-04,105.900002,106.440002,102.820000,103.809998,103.809998,49239600
2016-04-11,104.040001,111.849998,102.209999,111.510002,111.510002,57889800
2016-04-18,109.900002,110.699997,93.139999,95.900002,95.900002,150884400
2016-04-25,95.699997,95.750000,88.209999,90.029999,90.029999,67978100
2016-05-02,90.410004,93.250000,88.110001,90.839996,90.839996,51338000
2016-05-09,90.730003,93.250000,85.739998,87.879997,87.879997,64392000
2016-05-16,87.559998,93.279999,86.150002,92.489998,92.489998,63244200
2016-05-23,92.980003,104.000000,92.849998,103.300003,103.300003,77298000
2016-05-30,102.949997,103.449997,98.529999,99.589996,99.589996,34335500
2016-06-06,100.290001,101.629997,93.279999,93.750000,93.750000,44558400
2016-06-13,95.019997,97.199997,93.250000,94.449997,94.449997,46237700
2016-06-20,95.220001,95.879997,87.209999,88.440002,88.440002,55748400
2016-06-27,87.879997,97.000000,84.809998,96.669998,96.669998,62229400
2016-07-04,95.199997,101.269997,93.180000,97.059998,97.059998,60429500
2016-07-11,96.190002,98.699997,94.089996,98.389999,98.389999,52589400
2016-07-18,98.430000,99.839996,84.500000,85.889999,85.889999,135323900
2016-07-25,85.730003,93.099998,85.010002,91.250000,91.250000,55628000
2016-08-01,91.230003,97.739998,90.500000,97.029999,97.029999,51942200
2016-08-08,95.910004,96.830002,92.949997,96.589996,96.589996,40962500
2016-08-15,96.830002,97.220001,94.400002,95.870003,95.870003,36127000
2016-08-22,95.669998,98.250000,94.910004,97.580002,97.580002,34786800
2016-08-29,96.970001,98.849998,96.570000,97.379997,97.379997,27188300
2016-09-05,97.760002,100.320000,96.500000,96.500000,96.500000,28079100
2016-09-12,95.910004,99.489998,95.330002,99.480003,99.480003,42726100
2016-09-19,99.900002,100.349998,93.260002,95.940002,95.940002,50789700
